0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g8.png HTTP/1.1" 200 191792
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g6.png HTTP/1.1" 200 21178
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g10.png HTTP/1.1" 200 72253
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g9.png HTTP/1.1" 200 48164
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g11.png HTTP/1.1" 200 102043
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g12.png HTTP/1.1" 200 304368
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g15.png HTTP/1.1" 200 431085
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g13.png HTTP/1.1" 200 25370
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g16.png HTTP/1.1" 200 937262
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g17.png HTTP/1.1" 200 1508118
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g18.png HTTP/1.1" 200 323100
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g19.png HTTP/1.1" 200 292580
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g21.png HTTP/1.1" 200 637168
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g22.png HTTP/1.1" 200 73203
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g24.png HTTP/1.1" 200 165722
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g23.png HTTP/1.1" 200 33845
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g25.png HTTP/1.1" 200 176015
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g26.png HTTP/1.1" 200 429434
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:39:12 +0900] "GET /edu/app/card/g27.png HTTP/1.1" 200 204655
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:43:57 +0900] "GET /edu/app1/ HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:43:57 +0900] "GET /edu/app1/css/main.css HTTP/1.1" 200 5644
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:43:57 +0900] "GET /edu/app1/js/main.js HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:43:57 +0900] "GET /edu/app1/images/1.jpg HTTP/1.1" 200 253058
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:43:57 +0900] "GET /edu/app1/images/2.jpg HTTP/1.1" 200 393556
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:43:57 +0900] "GET /edu/app1/images/3.jpg HTTP/1.1" 200 231530
0:0:0:0:0:0:0:1 - - [02/Feb/2018:10:43:57 +0900] "GET /edu/app1/images/4.jpg HTTP/1.1" 200 227860
